filename,local_time
KTLX20200123_143234_V06,20200123_083234
KTLX20200123_144213_V06,20200123_084213
KTLX20200123_150132_V06,20200123_090132
KTLX20200124_130752_V06,20200124_070752
KTLX20200124_131731_V06,20200124_071731
KTLX20200124_132710_V06,20200124_072710
KTLX20200124_133650_V06,20200124_073650
KTLX20200124_134629_V06,20200124_074629
KTLX20200124_140549_V06,20200124_080549
KTLX20200124_141529_V06,20200124_081529
KTLX20200124_142509_V06,20200124_082509
KTLX20200124_143448_V06,20200124_083448
KTLX20200124_144428_V06,20200124_084428
KTLX20200124_150348_V06,20200124_090348
KTLX20200125_131126_V06,20200125_071126
KTLX20200125_132106_V06,20200125_072106
KTLX20200125_133045_V06,20200125_073045
KTLX20200125_134025_V06,20200125_074025
KTLX20200125_135005_V06,20200125_075005
KTLX20200125_140924_V06,20200125_080924
KTLX20200125_141903_V06,20200125_081903
KTLX20200125_142843_V06,20200125_082843
KTLX20200125_143823_V06,20200125_083823
KTLX20200125_144803_V06,20200125_084803
KTLX20200126_130638_V06,20200126_070638
KTLX20200126_131618_V06,20200126_071618
KTLX20200126_132558_V06,20200126_072558
KTLX20200126_133537_V06,20200126_073537
KTLX20200126_134516_V06,20200126_074516
KTLX20200126_140436_V06,20200126_080436
KTLX20200126_141416_V06,20200126_081416
KTLX20200126_142355_V06,20200126_082355
KTLX20200126_143335_V06,20200126_083335
KTLX20200126_144315_V06,20200126_084315
KTLX20200126_150234_V06,20200126_090234
KTLX20200127_130848_V06,20200127_070848
KTLX20200127_131827_V06,20200127_071827
KTLX20200127_132806_V06,20200127_072806
KTLX20200127_133746_V06,20200127_073746
KTLX20200127_134726_V06,20200127_074726
KTLX20200127_140645_V06,20200127_080645
KTLX20200127_141624_V06,20200127_081624
KTLX20200127_142604_V06,20200127_082604
KTLX20200127_143544_V06,20200127_083544
KTLX20200127_144524_V06,20200127_084524
KTLX20200128_130713_V06,20200128_070713
KTLX20200128_131302_V06,20200128_071302
KTLX20200128_131849_V06,20200128_071849
KTLX20200128_132438_V06,20200128_072438
KTLX20200128_133026_V06,20200128_073026
KTLX20200128_133614_V06,20200128_073614
KTLX20200128_134202_V06,20200128_074202
KTLX20200128_134750_V06,20200128_074750
KTLX20200128_135339_V06,20200128_075339
KTLX20200128_140536_V06,20200128_080536
KTLX20200128_141125_V06,20200128_081125
KTLX20200128_141735_V06,20200128_081735
KTLX20200128_142344_V06,20200128_082344
KTLX20200128_142954_V06,20200128_082954
KTLX20200128_143604_V06,20200128_083604
KTLX20200128_144212_V06,20200128_084212
KTLX20200128_144821_V06,20200128_084821
KTLX20200128_150041_V06,20200128_090041
KTLX20200129_130413_V06,20200129_070413
KTLX20200129_131352_V06,20200129_071352
KTLX20200129_132331_V06,20200129_072331
KTLX20200129_133309_V06,20200129_073309
KTLX20200129_134248_V06,20200129_074248
KTLX20200129_140208_V06,20200129_080208
KTLX20200129_141147_V06,20200129_081147
KTLX20200129_142125_V06,20200129_082125
KTLX20200129_143104_V06,20200129_083104
KTLX20200129_144044_V06,20200129_084044
KTLX20200129_145024_V06,20200129_085024
KTLX20200130_130612_V06,20200130_070612
KTLX20200130_131552_V06,20200130_071552
KTLX20200130_132531_V06,20200130_072531
KTLX20200130_133510_V06,20200130_073510
KTLX20200130_134449_V06,20200130_074449
KTLX20200130_140408_V06,20200130_080408
KTLX20200130_141347_V06,20200130_081347
KTLX20200130_142325_V06,20200130_082325
KTLX20200130_143304_V06,20200130_083304
KTLX20200130_144243_V06,20200130_084243
KTLX20200131_130837_V06,20200131_070837
KTLX20200131_131817_V06,20200131_071817
KTLX20200131_132756_V06,20200131_072756
KTLX20200131_133735_V06,20200131_073735
KTLX20200131_134715_V06,20200131_074715
KTLX20200131_140635_V06,20200131_080635
KTLX20200131_141614_V06,20200131_081614
KTLX20200131_142554_V06,20200131_082554
KTLX20200131_143533_V06,20200131_083533
KTLX20200131_144512_V06,20200131_084512
KTLX20200201_130848_V06,20200201_070848
KTLX20200201_131826_V06,20200201_071826
KTLX20200201_132805_V06,20200201_072805
KTLX20200201_133746_V06,20200201_073746
KTLX20200201_134113_V06,20200201_074113
KTLX20200201_134452_V06,20200201_074452
KTLX20200201_134832_V06,20200201_074832
KTLX20200201_135211_V06,20200201_075211
KTLX20200201_135548_V06,20200201_075548
KTLX20200201_140307_V06,20200201_080307
KTLX20200201_141245_V06,20200201_081245
KTLX20200201_142224_V06,20200201_082224
KTLX20200201_143204_V06,20200201_083204
KTLX20200201_144143_V06,20200201_084143
KTLX20200202_130120_V06,20200202_070120
KTLX20200202_130458_V06,20200202_070458
KTLX20200202_130836_V06,20200202_070836
KTLX20200202_131214_V06,20200202_071214
KTLX20200202_131553_V06,20200202_071553
KTLX20200202_131931_V06,20200202_071931
KTLX20200202_132308_V06,20200202_072308
KTLX20200202_132646_V06,20200202_072646
KTLX20200202_133024_V06,20200202_073024
KTLX20200202_133402_V06,20200202_073402
KTLX20200202_133740_V06,20200202_073740
KTLX20200202_134119_V06,20200202_074119
KTLX20200202_134457_V06,20200202_074457
KTLX20200202_134835_V06,20200202_074835
KTLX20200202_135213_V06,20200202_075213
KTLX20200202_135551_V06,20200202_075551
KTLX20200202_140307_V06,20200202_080307
