track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time
2,KLIX20200627_110613_V06,6.414,0.065,443.462,283.279,25.196,-89.079,30.410,12598.222,72216.663,20200627_060613
4,KLIX20200627_104921_V06,-10.453,0.792,421.447,515.916,19.968,-89.200,29.361,9984.000,123864.085,20200627_054921
4,KLIX20200627_110613_V06,6.414,0.711,419.762,508.193,41.024,-89.208,29.396,20512.084,120090.973,20200627_060613
4,KLIX20200627_111430_V06,14.697,0.683,421.397,506.896,50.638,-89.200,29.402,25318.886,119940.969,20200627_061430
4,KLIX20200627_112248_V06,22.997,0.586,419.782,498.437,56.958,-89.208,29.440,28479.129,115893.165,20200627_062248
7,KLIX20200627_120417_V06,64.481,0.096,349.843,421.721,32.607,-89.568,29.787,16303.556,65765.437,20200627_070417
1,KLIX20200628_103242_V06,-27.448,0.275,247.921,301.146,10.458,-90.096,30.331,5228.790,26045.820,20200628_053242
1,KLIX20200628_103803_V06,-22.098,0.279,247.750,301.215,17.310,-90.097,30.331,8654.772,26132.137,20200628_053803
1,KLIX20200628_104324_V06,-16.748,0.513,247.660,301.201,18.170,-90.097,30.331,9084.946,26176.750,20200628_054324
1,KLIX20200628_104844_V06,-11.414,0.460,248.665,298.931,20.469,-90.092,30.341,10234.702,25672.994,20200628_054844
1,KLIX20200628_105405_V06,-6.064,0.828,247.187,299.651,26.512,-90.100,30.338,13255.760,26406.986,20200628_055405
1,KLIX20200628_110447_V06,4.636,0.889,243.830,296.695,29.463,-90.117,30.351,14731.407,28133.437,20200628_060447
1,KLIX20200628_111007_V06,9.969,0.841,239.818,298.253,32.363,-90.138,30.344,16181.616,30103.722,20200628_061007
1,KLIX20200628_111534_V06,15.419,0.587,240.666,299.366,40.175,-90.134,30.339,20087.308,29668.515,20200628_061534
1,KLIX20200628_112102_V06,20.886,0.239,243.094,298.677,45.179,-90.121,30.342,22589.733,28460.664,20200628_062102
1,KLIX20200628_112630_V06,26.352,0.119,237.660,296.466,44.704,-90.149,30.352,22351.883,31220.228,20200628_062630
4,KLIX20200628_105405_V06,-6.064,0.672,426.577,513.767,20.876,-89.173,29.371,10437.890,124215.604,20200628_055405
4,KLIX20200628_110447_V06,4.636,0.690,426.649,511.693,31.874,-89.173,29.380,15937.069,123342.725,20200628_060447
4,KLIX20200628_111007_V06,9.969,0.419,427.055,507.772,35.464,-89.171,29.398,17732.195,121770.586,20200628_061007
4,KLIX20200628_111534_V06,15.419,0.406,429.026,500.353,44.647,-89.160,29.431,22323.739,119152.213,20200628_061534
4,KLIX20200628_112102_V06,20.886,0.321,429.466,500.114,48.878,-89.158,29.432,24439.179,119171.079,20200628_062102
4,KLIX20200628_112630_V06,26.352,0.100,427.743,497.939,50.560,-89.167,29.442,25280.093,117790.067,20200628_062630
3,KLIX20200628_104844_V06,-11.414,0.093,449.394,292.089,14.674,-89.048,30.370,7337.143,74801.522,20200628_054844
3,KLIX20200628_105405_V06,-6.064,0.136,449.154,290.913,21.969,-89.049,30.375,10984.575,74715.358,20200628_055405
5,KLIX20200628_105405_V06,-6.064,0.099,303.432,326.459,19.093,-89.807,30.217,9546.541,13340.217,20200628_055405
1,KLIX20200629_103227_V06,-28.059,0.489,236.899,301.147,13.998,-90.153,30.331,6999.153,31555.620,20200629_053227
1,KLIX20200629_103748_V06,-22.709,0.666,242.413,301.254,17.734,-90.125,30.331,8867.221,28800.531,20200629_053748
1,KLIX20200629_104257_V06,-17.559,-1.000,246.800,301.339,22.127,-90.102,30.330,11063.349,26608.355,20200629_054257
1,KLIX20200629_104818_V06,-12.209,0.737,247.226,302.359,20.348,-90.100,30.326,10174.079,26413.285,20200629_054818
1,KLIX20200629_105328_V06,-7.042,0.709,246.915,302.315,24.653,-90.101,30.326,12326.629,26567.826,20200629_055328
1,KLIX20200629_110346_V06,3.258,0.863,244.971,295.803,31.543,-90.111,30.355,15771.456,27594.228,20200629_060346
1,KLIX20200629_110907_V06,8.608,0.549,244.132,295.768,36.874,-90.116,30.355,18436.838,28014.099,20200629_060907
1,KLIX20200629_111418_V06,13.791,0.577,240.761,295.603,39.104,-90.133,30.356,19551.757,29700.907,20200629_061418
1,KLIX20200629_111928_V06,18.958,0.231,237.744,293.635,39.757,-90.149,30.365,19878.295,31290.061,20200629_061928
4,KLIX20200629_105328_V06,-7.042,0.229,431.676,517.292,20.084,-89.147,29.355,10041.770,127037.750,20200629_055328
4,KLIX20200629_110346_V06,3.258,0.709,431.956,512.118,31.463,-89.146,29.378,15731.598,124906.483,20200629_060346
4,KLIX20200629_110907_V06,8.608,0.543,434.166,504.820,39.007,-89.134,29.411,19503.687,122424.958,20200629_060907
4,KLIX20200629_111418_V06,13.791,0.579,437.056,500.841,45.493,-89.119,29.429,22746.627,121574.428,20200629_061418
4,KLIX20200629_111928_V06,18.958,0.099,438.047,502.622,50.639,-89.114,29.421,25319.519,122589.292,20200629_061928
3,KLIX20200629_104257_V06,-17.559,0.065,447.242,288.492,19.738,-89.059,30.386,9869.011,73845.433,20200629_054257
3,KLIX20200629_104818_V06,-12.209,0.266,447.720,287.456,26.280,-89.057,30.391,13140.214,74125.855,20200629_054818
3,KLIX20200629_105328_V06,-7.042,0.081,452.205,279.537,31.654,-89.033,30.427,15827.097,76786.969,20200629_055328
1,KLIX20200630_104122_V06,-19.518,0.731,247.093,303.809,11.729,-90.100,30.319,5864.634,26521.743,20200630_054122
1,KLIX20200630_104642_V06,-14.185,0.850,248.490,303.668,15.718,-90.093,30.320,7858.760,25820.292,20200630_054642
