filename,local_time
KTYX20200120_121120_V06,20200120_071120
KTYX20200120_121817_V06,20200120_071817
KTYX20200120_122516_V06,20200120_072516
KTYX20200120_123215_V06,20200120_073215
KTYX20200120_123913_V06,20200120_073913
KTYX20200120_124612_V06,20200120_074612
KTYX20200120_125310_V06,20200120_075310
KTYX20200120_130701_V06,20200120_080701
KTYX20200120_131359_V06,20200120_081359
KTYX20200120_132053_V06,20200120_082053
KTYX20200120_132751_V06,20200120_082751
KTYX20200120_133448_V06,20200120_083448
KTYX20200120_134142_V06,20200120_084142
KTYX20200120_134834_V06,20200120_084834
KTYX20200121_120244_V06,20200121_070244
KTYX20200121_120948_V06,20200121_070948
KTYX20200121_121635_V06,20200121_071635
KTYX20200121_122332_V06,20200121_072332
KTYX20200121_123030_V06,20200121_073030
KTYX20200121_123728_V06,20200121_073728
KTYX20200121_124433_V06,20200121_074433
KTYX20200121_125137_V06,20200121_075137
KTYX20200121_130546_V06,20200121_080546
KTYX20200121_131250_V06,20200121_081250
KTYX20200121_131954_V06,20200121_081954
KTYX20200121_132652_V06,20200121_082652
KTYX20200121_133350_V06,20200121_083350
KTYX20200121_134055_V06,20200121_084055
KTYX20200121_134759_V06,20200121_084759
KTYX20200122_120301_V06,20200122_070301
KTYX20200122_120953_V06,20200122_070953
KTYX20200122_121651_V06,20200122_071651
KTYX20200122_122340_V06,20200122_072340
KTYX20200122_123037_V06,20200122_073037
KTYX20200122_123730_V06,20200122_073730
KTYX20200122_124423_V06,20200122_074423
KTYX20200122_125111_V06,20200122_075111
KTYX20200122_130447_V06,20200122_080447
KTYX20200122_131140_V06,20200122_081140
KTYX20200122_131823_V06,20200122_081823
KTYX20200122_132516_V06,20200122_082516
KTYX20200122_133200_V06,20200122_083200
KTYX20200122_133843_V06,20200122_083843
KTYX20200122_134527_V06,20200122_084527
KTYX20200122_135219_V06,20200122_085219
KTYX20200123_120151_V06,20200123_070151
KTYX20200123_120849_V06,20200123_070849
KTYX20200123_121542_V06,20200123_071542
KTYX20200123_122236_V06,20200123_072236
KTYX20200123_122933_V06,20200123_072933
KTYX20200123_123637_V06,20200123_073637
KTYX20200123_124331_V06,20200123_074331
KTYX20200123_125028_V06,20200123_075028
KTYX20200123_130414_V06,20200123_080414
KTYX20200123_131107_V06,20200123_081107
KTYX20200123_131756_V06,20200123_081756
KTYX20200123_132448_V06,20200123_082448
KTYX20200123_133151_V06,20200123_083151
KTYX20200123_133848_V06,20200123_083848
KTYX20200123_134546_V06,20200123_084546
KTYX20200123_135244_V06,20200123_085244
KTYX20200124_120256_V06,20200124_070256
KTYX20200124_121001_V06,20200124_071001
KTYX20200124_121705_V06,20200124_071705
KTYX20200124_122409_V06,20200124_072409
KTYX20200124_123107_V06,20200124_073107
KTYX20200124_123756_V06,20200124_073756
KTYX20200124_124444_V06,20200124_074444
KTYX20200124_125143_V06,20200124_075143
KTYX20200124_130545_V06,20200124_080545
KTYX20200124_131243_V06,20200124_081243
KTYX20200124_131940_V06,20200124_081940
KTYX20200124_132644_V06,20200124_082644
KTYX20200124_133348_V06,20200124_083348
KTYX20200124_134053_V06,20200124_084053
KTYX20200124_134756_V06,20200124_084756
KTYX20200125_120034_V06,20200125_070034
KTYX20200125_120522_V06,20200125_070522
KTYX20200125_121010_V06,20200125_071010
KTYX20200125_121512_V06,20200125_071512
KTYX20200125_122000_V06,20200125_072000
KTYX20200125_122453_V06,20200125_072453
KTYX20200125_122941_V06,20200125_072941
KTYX20200125_123459_V06,20200125_073459
KTYX20200125_124006_V06,20200125_074006
KTYX20200125_124538_V06,20200125_074538
KTYX20200125_125056_V06,20200125_075056
KTYX20200125_130215_V06,20200125_080215
