filename,local_time
KDAX20200113_150055_V06,20200113_070055
KDAX20200113_150533_V06,20200113_070533
KDAX20200113_151013_V06,20200113_071013
KDAX20200113_151452_V06,20200113_071452
KDAX20200113_151931_V06,20200113_071931
KDAX20200113_152410_V06,20200113_072410
KDAX20200113_152848_V06,20200113_072848
KDAX20200113_153327_V06,20200113_073327
KDAX20200113_153806_V06,20200113_073806
KDAX20200113_154246_V06,20200113_074246
KDAX20200113_154724_V06,20200113_074724
KDAX20200113_155203_V06,20200113_075203
KDAX20200113_160123_V06,20200113_080123
KDAX20200113_160602_V06,20200113_080602
KDAX20200113_161041_V06,20200113_081041
KDAX20200113_161519_V06,20200113_081519
KDAX20200113_161959_V06,20200113_081959
KDAX20200113_162438_V06,20200113_082438
KDAX20200113_162917_V06,20200113_082917
KDAX20200113_163355_V06,20200113_083355
KDAX20200113_163834_V06,20200113_083834
KDAX20200113_164314_V06,20200113_084314
KDAX20200113_164753_V06,20200113_084753
KDAX20200113_165231_V06,20200113_085231
KDAX20200114_145446_V06,20200114_065446
KDAX20200114_150405_V06,20200114_070405
KDAX20200114_150844_V06,20200114_070844
KDAX20200114_151323_V06,20200114_071323
KDAX20200114_151802_V06,20200114_071802
KDAX20200114_152241_V06,20200114_072241
KDAX20200114_152720_V06,20200114_072720
KDAX20200114_153159_V06,20200114_073159
KDAX20200114_153637_V06,20200114_073637
KDAX20200114_154116_V06,20200114_074116
KDAX20200114_154555_V06,20200114_074555
KDAX20200114_155034_V06,20200114_075034
KDAX20200114_155514_V06,20200114_075514
KDAX20200114_160431_V06,20200114_080431
KDAX20200114_160910_V06,20200114_080910
KDAX20200114_161349_V06,20200114_081349
KDAX20200114_161829_V06,20200114_081829
KDAX20200114_162307_V06,20200114_082307
KDAX20200114_162746_V06,20200114_082746
KDAX20200114_163225_V06,20200114_083225
KDAX20200114_163704_V06,20200114_083704
KDAX20200114_164142_V06,20200114_084142
KDAX20200114_164621_V06,20200114_084621
KDAX20200114_165059_V06,20200114_085059
KDAX20200115_150152_V06,20200115_070152
KDAX20200115_150631_V06,20200115_070631
KDAX20200115_151110_V06,20200115_071110
KDAX20200115_151550_V06,20200115_071550
KDAX20200115_152030_V06,20200115_072030
KDAX20200115_152508_V06,20200115_072508
KDAX20200115_152948_V06,20200115_072948
KDAX20200115_153427_V06,20200115_073427
KDAX20200115_153907_V06,20200115_073907
KDAX20200115_154346_V06,20200115_074346
KDAX20200115_154825_V06,20200115_074825
KDAX20200115_155303_V06,20200115_075303
KDAX20200115_160221_V06,20200115_080221
KDAX20200115_160701_V06,20200115_080701
KDAX20200115_161139_V06,20200115_081139
KDAX20200115_161618_V06,20200115_081618
KDAX20200115_162057_V06,20200115_082057
KDAX20200115_162536_V06,20200115_082536
KDAX20200115_163014_V06,20200115_083014
KDAX20200115_163454_V06,20200115_083454
KDAX20200115_163932_V06,20200115_083932
KDAX20200115_164412_V06,20200115_084412
KDAX20200115_164852_V06,20200115_084852
KDAX20200116_145443_V06,20200116_065443
KDAX20200116_150416_V06,20200116_070416
KDAX20200116_150909_V06,20200116_070909
KDAX20200116_151403_V06,20200116_071403
KDAX20200116_151911_V06,20200116_071911
KDAX20200116_152420_V06,20200116_072420
KDAX20200116_152944_V06,20200116_072944
KDAX20200116_153522_V06,20200116_073522
KDAX20200116_154130_V06,20200116_074130
KDAX20200116_154738_V06,20200116_074738
KDAX20200116_155346_V06,20200116_075346
KDAX20200116_160601_V06,20200116_080601
